烹饪方法
炖
扒
腌
烧
焖
炸
火锅
煎
烤
熏
冷冻
调味
生鲜
卤
炒
氽
煨
煮
蒸
拔丝
拌
煲
酥
砂锅
溜
爆
烙
烘焙
酱
