地域
苏菜
川菜
浙菜
湘菜
粤菜
西北菜
新疆菜
东北菜
陕西菜
鲁菜
淮扬菜
潮汕菜
北京菜
鄂菜
上海菜
河北菜
重庆菜
豫菜
晋菜
赣菜
闽菜
藏菜
徽菜
贵州菜
云南菜
